,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,GAME_DATE,SALARY
201976,Patrick Beverley,Timberwolves,Guard,6-1,180,USA,1988-07-12T00:00:00,9,42,526,27.4,8.8,4.3,3.5,1.1,0.5,APR 16 2022,14320988
1630180,Saddiq Bey,Pistons,Forward,6-7,215,USA,1999-04-09T00:00:00,1,19,152,30.4,14.3,5.0,2.2,0.8,0.2,APR 16 2022,2824320
203920,Khem Birch,Raptors,Center,6-9,233,Canada,1992-09-28T00:00:00,4,Undrafted,262,17.8,5.2,4.6,1.0,0.5,0.6,APR 16 2022,6350000
1629048,Goga Bitadze,Pacers,Center-Forward,7-0,250,Georgia,1999-07-20T00:00:00,2,18,149,11.8,5.0,2.9,0.8,0.3,0.9,APR 17 2022,3098400
202687,Bismack Biyombo,Suns,Center,6-8,255,DRC,1992-08-28T00:00:00,10,7,738,19.9,5.2,6.1,0.6,0.3,1.3,APR 16 2022,1366392
202357,Nemanja Bjelica,Warriors,Forward,6-9,234,Serbia,1988-05-09T00:00:00,6,35,449,20.4,7.6,4.6,1.8,0.6,0.4,APR 16 2022,2089448
202339,Eric Bledsoe,Trail Blazers,Guard,6-1,214,USA,1989-12-09T00:00:00,11,18,756,27.8,13.7,3.9,4.7,1.4,0.5,APR 17 2022,18125000
202711,Bojan Bogdanovic,Jazz,Forward,6-7,226,Croatia,1989-04-18T00:00:00,7,31,603,29.1,15.0,3.6,1.6,0.6,0.1,APR 16 2022,18700000
1629626,Bol Bol,Magic,Center-Forward,7-2,220,Sudan,1999-11-16T00:00:00,2,44,53,6.2,2.7,1.2,0.3,0.1,0.3,APR 16 2022,2161152
1630195,Leandro Bolmaro,Timberwolves,Forward,6-6,200,Argentina,2000-09-11T00:00:00,0,23,35,6.9,1.4,1.2,0.6,0.2,0.0,APR 16 2022,2353320
1629067,Isaac Bonga,Raptors,Guard,6-8,180,Germany,1999-11-08T00:00:00,3,39,143,13.1,3.1,2.2,0.8,0.5,0.3,APR 16 2022,1729217
1626164,Devin Booker,Suns,Guard,6-5,206,USA,1996-10-30T00:00:00,6,13,477,33.7,23.5,3.9,4.7,0.8,0.3,APR 16 2022,31610000
1630527,Brandon Boston Jr.,Clippers,Guard,6-6,188,USA,2001-11-28T00:00:00,0,51,51,14.9,6.7,2.2,1.0,0.5,0.3,APR 17 2022,925258
1628449,Chris Boucher,Raptors,Forward-Center,6-9,200,Saint Lucia,1993-01-11T00:00:00,4,Undrafted,231,17.9,9.0,5.3,0.5,0.5,1.2,APR 17 2022,7009615
1630547,James Bouknight,Hornets,Guard,6-4,190,USA,2000-09-18T00:00:00,0,11,31,9.8,4.6,1.7,0.8,0.2,0.0,APR 16 2022,4154400
202340,Avery Bradley,Lakers,Guard,6-3,180,USA,1990-11-26T00:00:00,11,19,660,27.5,11.0,2.8,1.7,1.0,0.2,APR 17 2022,2641691
1628396,Tony Bradley,Bulls,Center-Forward,6-10,248,USA,1998-01-08T00:00:00,4,28,167,11.7,4.6,4.3,0.5,0.2,0.6,APR 17 2022,1789256
1628970,Miles Bridges,Hornets,Forward,6-7,225,USA,1998-03-21T00:00:00,3,12,291,29.1,13.4,5.6,2.3,0.7,0.7,APR 16 2022,5421493
1629052,Oshae Brissett,Pacers,Forward-Guard,6-7,210,Canada,1998-06-20T00:00:00,2,Undrafted,107,20.7,8.2,4.7,0.9,0.6,0.5,APR 17 2022,1701593
1627763,Malcolm Brogdon,Pacers,Guard,6-5,229,USA,1992-12-11T00:00:00,5,36,333,30.2,15.5,4.2,4.8,0.9,0.2,APR 16 2022,21700000
1629717,Armoni Brooks,Raptors,Guard,6-3,195,USA,1998-06-05T00:00:00,1,,74,18.4,6.9,2.3,1.2,0.5,0.2,APR 17 2022,1625991
1628415,Dillon Brooks,Grizzlies,Guard-Forward,6-7,225,Canada,1996-01-22T00:00:00,4,45,272,28.2,14.5,3.0,2.0,1.0,0.3,APR 17 2022,12200000
1628971,Bruce Brown,Nets,Guard-Forward,6-4,202,USA,1996-08-15T00:00:00,3,42,269,23.5,7.6,4.3,2.1,0.9,0.5,APR 17 2022,4736102
1629650,Moses Brown,Cavaliers,Center,7-2,245,USA,1999-10-13T00:00:00,2,Undrafted,92,14.1,6.0,5.8,0.1,0.4,0.7,APR 16 2022,1720779
1628425,Sterling Brown,Mavericks,Guard-Forward,6-5,219,USA,1995-02-10T00:00:00,4,46,264,16.8,5.4,3.3,1.0,0.5,0.2,APR 17 2022,3000000
1630535,Greg Brown Iii,Trail Blazers,Forward,6-7,206,USA,2001-09-01T00:00:00,0,43,48,13.3,4.7,2.8,0.7,0.5,0.5,APR 17 2022,925258
1628972,Troy Brown Jr.,Bulls,Guard-Forward,6-6,215,USA,1999-07-28T00:00:00,3,15,221,18.5,6.4,3.8,1.6,0.7,0.1,APR 17 2022,5170564
1628973,Jalen Brunson,Mavericks,Guard,6-1,190,USA,1996-08-31T00:00:00,3,33,277,24.7,11.9,3.0,3.7,0.6,0.0,APR 16 2022,1802057
1628418,Thomas Bryant,Wizards,Center-Forward,6-10,248,USA,1997-07-31T00:00:00,4,42,170,20.1,10.2,5.7,1.3,0.4,0.9,APR 17 2022,8730159
203493,Reggie Bullock,Mavericks,Guard-Forward,6-6,205,USA,1991-03-16T00:00:00,8,25,434,22.5,7.8,2.5,1.2,0.6,0.1,APR 16 2022,9536000
203504,Trey Burke,Mavericks,Guard,6-0,185,USA,1992-11-12T00:00:00,8,9,498,20.9,9.6,1.8,3.1,0.6,0.1,APR 16 2022,3333333
202692,Alec Burks,Knicks,Guard,6-6,214,USA,1991-07-20T00:00:00,10,12,625,23.0,10.6,3.5,2.0,0.7,0.2,APR 17 2022,9536000
1630215,Jared Butler,Jazz,Guard,6-3,193,USA,2000-08-25T00:00:00,0,40,42,8.6,3.8,1.1,1.5,0.4,0.2,APR 16 2022,925258
202710,Jimmy Butler,Heat,Forward,6-7,230,USA,1989-09-14T00:00:00,10,30,690,33.1,17.7,5.3,4.1,1.6,0.5,APR 16 2022,36016200
1629719,Devontae Cacok,Spurs,Forward,6-7,240,USA,1996-10-08T00:00:00,2,Undrafted,36,6.3,2.5,2.2,0.2,0.4,0.3,APR 16 2022,364533
203484,Kentavious Caldwell-Pope,Wizards,Guard,6-5,204,USA,1993-02-18T00:00:00,8,8,683,29.2,11.6,3.1,1.7,1.1,0.2,APR 17 2022,13038862
1630267,Facundo Campazzo,Nuggets,Guard,5-10,195,Argentina,1991-03-23T00:00:00,1,Undrafted,130,20.1,5.6,1.9,3.5,1.1,0.3,APR 16 2022,3804150
1628427,Vlatko Cancar,Nuggets,Forward,6-8,236,Slovenia,1997-04-10T00:00:00,2,49,70,7.2,2.3,1.3,0.5,0.2,0.1,APR 16 2022,1782621
1629962,Devin Cannady,Magic,Guard,6-2,183,USA,1996-05-21T00:00:00,1,,13,16.8,6.5,0.8,0.8,0.8,0.3,APR 16 2022,100000
203991,Clint Capela,Hawks,Center,6-10,256,Switzerland,1994-05-18T00:00:00,7,25,471,26.8,12.4,10.7,1.0,0.7,1.5,APR 16 2022,17103448
1630176,Vernon Carey Jr.,Wizards,Forward-Center,6-9,270,USA,2001-02-25T00:00:00,1,32,26,6.1,2.5,1.5,0.1,0.1,0.2,APR 16 2022,1517981
1628975,Jevon Carter,Bucks,Guard,6-1,200,USA,1995-09-14T00:00:00,3,32,223,14.1,4.4,1.7,1.4,0.6,0.2,APR 16 2022,4107149
1628976,Wendell Carter Jr.,Magic,Center-Forward,6-10,270,USA,1999-04-16T00:00:00,3,7,203,27.5,12.2,8.9,2.0,0.6,0.9,APR 17 2022,6920027
1627936,Alex Caruso,Bulls,Guard,6-5,186,USA,1994-02-28T00:00:00,4,Undrafted,225,20.6,6.2,2.5,2.7,1.1,0.3,APR 16 2022,8604651
1627737,Marquese Chriss,Mavericks,Forward,6-9,240,USA,1997-07-02T00:00:00,5,8,292,18.3,7.6,4.7,1.0,0.6,0.8,APR 16 2022,958529
1630528,Josh Christopher,Rockets,Guard,6-3,215,USA,2001-12-08T00:00:00,0,24,74,18.0,7.9,2.5,2.0,0.9,0.2,APR 16 2022,2259240
1629109,Gary Clark,Pelicans,Forward,6-6,225,USA,1994-11-16T00:00:00,3,Undrafted,170,13.2,3.1,2.5,0.5,0.3,0.4,APR 17 2022,377645
1629634,Brandon Clarke,Grizzlies,Forward,6-8,215,Canada,1996-09-19T00:00:00,2,21,181,21.9,10.9,5.6,1.4,0.7,0.9,APR 16 2022,2726880
203903,Jordan Clarkson,Jazz,Guard,6-4,194,USA,1992-06-07T00:00:00,7,46,600,27.0,15.4,3.3,2.5,0.9,0.1,APR 17 2022,12420000
1629651,Nic Claxton,Nets,Forward-Center,6-11,215,USA,1999-04-17T00:00:00,2,31,94,18.7,7.3,5.0,0.9,0.5,1.1,APR 17 2022,1782621
1629599,Amir Coffey,Clippers,Guard-Forward,6-7,210,USA,1997-06-17T00:00:00,2,Undrafted,131,16.2,6.2,2.0,1.2,0.4,0.1,APR 16 2022,153488
1628381,John Collins,Hawks,Forward-Center,6-9,226,USA,1997-09-23T00:00:00,4,19,293,29.0,16.5,8.3,1.6,0.6,1.0,APR 17 2022,23000000
1628380,Zach Collins,Spurs,Forward-Center,6-11,250,USA,1997-11-19T00:00:00,3,10,182,17.5,6.0,4.2,1.1,0.3,0.7,APR 17 2022,6984127
201144,Mike Conley,Jazz,Guard,6-1,175,USA,1987-10-11T00:00:00,14,4,958,32.0,14.8,3.0,5.6,1.4,0.2,APR 17 2022,21000000
1626192,Pat Connaughton,Bucks,Guard,6-5,209,USA,1993-01-06T00:00:00,6,41,417,18.5,5.9,3.3,1.2,0.5,0.3,APR 17 2022,5333333
202326,Demarcus Cousins,Nuggets,Center,6-10,270,USA,1990-08-13T00:00:00,10,5,654,29.8,19.6,10.2,3.0,1.3,1.1,APR 16 2022,1290481
203496,Robert Covington,Clippers,Forward,6-7,209,USA,1990-12-14T00:00:00,8,Undrafted,537,29.9,11.6,5.8,1.5,1.6,1.0,APR 16 2022,12975471
1628470,Torrey Craig,Suns,Forward,6-7,221,USA,1990-12-19T00:00:00,4,Undrafted,300,18.7,5.7,3.6,0.9,0.5,0.5,APR 17 2022,4878049
203109,Jae Crowder,Suns,Forward,6-6,235,USA,1990-07-06T00:00:00,9,34,735,25.3,9.6,4.3,1.6,1.0,0.3,APR 17 2022,9720900
1629633,Jarrett Culver,Grizzlies,Guard-Forward,6-6,195,USA,1999-02-20T00:00:00,2,6,134,17.5,6.6,2.7,1.2,0.7,0.4,APR 16 2022,6395160
1630595,Cade Cunningham,Pistons,Guard,6-6,220,USA,2001-09-25T00:00:00,0,1,64,32.6,17.4,5.5,5.6,1.2,0.7,APR 17 2022,10050120
203552,Seth Curry,Nets,Guard,6-2,185,USA,1990-08-23T00:00:00,7,Undrafted,377,25.2,11.3,2.2,2.2,0.7,0.1,APR 16 2022,8186047
201939,Stephen Curry,Warriors,Guard,6-2,185,USA,1988-03-14T00:00:00,12,7,826,34.3,24.3,4.6,6.5,1.7,0.2,APR 17 2022,45780966
203076,Anthony Davis,Lakers,Forward-Center,6-10,253,USA,1993-03-11T00:00:00,9,1,604,34.4,23.8,10.2,2.3,1.4,2.3,APR 16 2022,35361360
202334,Ed Davis,Cavaliers,Center-Forward,6-9,218,USA,1989-06-05T00:00:00,11,13,722,19.1,5.9,6.4,0.7,0.5,0.8,APR 16 2022,2641691
1629056,Terence Davis,Kings,Guard,6-4,201,USA,1997-05-16T00:00:00,2,Undrafted,163,17.3,8.5,3.0,1.5,0.7,0.2,APR 16 2022,4000000
201942,Demar Derozan,Bulls,Guard-Forward,6-6,220,USA,1989-08-07T00:00:00,12,9,957,34.3,20.8,4.4,3.9,1.0,0.3,APR 17 2022,26000000
203473,Dewayne Dedmon,Heat,Center,7-0,245,USA,1989-08-12T00:00:00,8,Undrafted,477,17.8,6.4,5.9,0.7,0.5,0.8,APR 16 2022,5256308
1628978,Donte Divincenzo,Kings,Guard,6-4,203,USA,1997-01-31T00:00:00,3,17,201,23.6,9.0,4.6,2.5,1.1,0.2,APR 16 2022,4675830
1628977,Hamidou Diallo,Pistons,Guard,6-5,202,USA,1998-07-31T00:00:00,3,45,207,18.9,8.4,3.9,1.1,0.8,0.3,APR 17 2022,5200000
203476,Gorgui Dieng,Hawks,Center,6-10,248,Senegal,1990-01-18T00:00:00,8,21,597,20.6,7.5,5.7,1.3,0.8,0.9,APR 16 2022,4000000
203915,Spencer Dinwiddie,Mavericks,Guard,6-6,215,USA,1993-04-06T00:00:00,7,38,387,26.4,13.0,3.0,5.0,0.7,0.3,APR 16 2022,17142857
1629029,Luka Doncic,Mavericks,Forward-Guard,6-7,230,Slovenia,1999-02-28T00:00:00,3,3,264,33.8,26.4,8.5,8.0,1.1,0.4,APR 16 2022,10174391
1629652,Luguentz Dort,Thunder,Guard,6-3,215,Canada,1999-04-19T00:00:00,2,Undrafted,139,29.0,13.3,3.5,1.5,0.9,0.3,APR 17 2022,1782621
1630245,Ayo Dosunmu,Bulls,Guard,6-4,200,USA,2000-01-17T00:00:00,0,38,77,27.4,8.8,2.8,3.3,0.8,0.4,APR 16 2022,925258
201609,Goran Dragic,Nets,Guard,6-3,190,Slovenia,1986-05-06T00:00:00,13,45,888,27.9,13.7,3.1,4.8,1.0,0.2,APR 16 2022,20168742
203083,Andre Drummond,Nets,Center,6-10,279,USA,1993-08-10T00:00:00,9,9,718,29.6,13.8,13.3,1.4,1.4,1.5,APR 17 2022,2401537
1630537,Chris Duarte,Pacers,Guard,6-5,190,Dominican Republic,1997-06-13T00:00:00,0,13,55,28.0,13.1,4.1,2.1,1.0,0.2,APR 16 2022,3749520
201142,Kevin Durant,Nets,Forward,6-10,240,USA,1988-09-29T00:00:00,13,2,939,36.8,27.2,7.1,4.3,1.1,1.1,APR 16 2022,40918900
1630162,Anthony Edwards,Timberwolves,Guard,6-4,225,USA,2001-08-05T00:00:00,1,1,144,33.2,20.3,4.7,3.4,1.3,0.6,APR 16 2022,10245480
1629035,Carsen Edwards,Celtics,Guard,5-11,200,USA,1998-03-12T00:00:00,2,33,72,9.8,3.7,1.1,0.7,0.3,0.1,APR 16 2022,76744
1630556,Kessler Edwards,Nets,Forward,6-7,203,USA,2000-08-09T00:00:00,0,44,48,20.6,5.9,3.6,0.6,0.6,0.5,APR 17 2022,5318
1629604,Cj Elleby,Trail Blazers,Forward-Guard,6-6,200,USA,2000-06-16T00:00:00,1,46,88,15.5,4.6,2.9,1.1,0.5,0.3,APR 17 2022,1517981
201961,Wayne Ellington,Lakers,Guard,6-4,207,USA,1987-11-29T00:00:00,12,28,770,20.9,8.0,2.1,1.1,0.5,0.1,APR 17 2022,2641691
203954,Joel Embiid,76ers,Center-Forward,7-0,280,Cameroon,1994-03-16T00:00:00,5,3,328,31.2,26.0,11.4,3.3,0.9,1.7,APR 17 2022,31579390
202324,Derrick Favors,Thunder,Forward,6-9,265,USA,1991-07-15T00:00:00,11,3,790,24.3,10.6,7.1,1.1,0.7,1.2,APR 16 2022,9720900
1628981,Bruno Fernando,Rockets,Forward-Center,6-9,240,Angola,1998-08-15T00:00:00,2,34,119,9.2,3.2,2.8,0.6,0.2,0.3,APR 17 2022,1782621
1627827,Dorian Finney-Smith,Mavericks,Forward,6-7,220,USA,1993-05-04T00:00:00,5,Undrafted,394,27.3,8.2,4.5,1.4,0.8,0.4,APR 17 2022,4000000
1630238,Malik Fitts,Celtics,Forward,6-5,230,USA,1997-07-04T00:00:00,1,Undrafted,18,4.1,1.3,1.1,0.3,0.0,0.0,APR 16 2022,231062
1630201,Malachi Flynn,Raptors,Guard,6-1,175,USA,1998-05-09T00:00:00,1,29,91,16.1,6.0,2.0,2.3,0.6,0.1,APR 17 2022,2048040
1630235,Trent Forrest,Jazz,Guard,6-4,210,USA,1998-06-12T00:00:00,1,Undrafted,90,11.9,3.1,1.6,1.7,0.4,0.1,APR 16 2022,8558
203095,Evan Fournier,Knicks,Guard-Forward,6-6,205,France,1992-10-29T00:00:00,9,20,645,28.6,14.3,2.7,2.6,0.9,0.2,APR 16 2022,18139535
1628368,De'Aaron Fox,Kings,Guard,6-3,185,USA,1997-12-20T00:00:00,4,5,322,32.1,19.1,3.5,6.2,1.3,0.4,APR 17 2022,28103550
1628365,Markelle Fultz,Magic,Guard,6-4,209,USA,1998-05-29T00:00:00,4,1,131,24.8,10.9,3.2,4.8,1.1,0.2,APR 16 2022,16500000
1629117,Wenyen Gabriel,Lakers,Forward,6-9,205,South Sudan,1997-03-26T00:00:00,2,Undrafted,77,10.8,3.6,2.6,0.4,0.3,0.3,APR 16 2022,29814
1629655,Daniel Gafford,Wizards,Forward-Center,6-9,234,USA,1998-10-01T00:00:00,2,38,169,16.8,7.6,4.4,0.7,0.4,1.4,APR 16 2022,1782621
201568,Danilo Gallinari,Hawks,Forward,6-10,236,Italy,1988-08-08T00:00:00,12,6,728,29.9,15.6,4.8,1.9,0.7,0.4,APR 16 2022,20475000
1629636,Darius Garland,Cavaliers,Guard,6-1,192,USA,2000-01-26T00:00:00,2,5,181,33.4,17.4,2.6,6.3,1.1,0.1,APR 16 2022,7040880
1630586,Usman Garuba,Rockets,Forward,6-8,229,Spain,2002-03-09T00:00:00,0,23,24,10.0,2.0,3.5,0.7,0.4,0.5,APR 16 2022,2353320
1630568,Luka Garza,Pistons,Center,6-10,243,USA,1998-12-27T00:00:00,0,52,32,12.2,5.8,3.1,0.6,0.3,0.2,APR 17 2022,925258
200752,Rudy Gay,Jazz,Forward-Guard,6-8,250,USA,1986-08-17T00:00:00,15,8,1064,31.7,16.3,5.8,2.1,1.1,0.7,APR 17 2022,5890000
202331,Paul George,Clippers,Forward,6-8,220,USA,1990-05-02T00:00:00,11,10,737,33.6,20.4,6.4,3.6,1.7,0.4,APR 16 2022,39344970
201959,Taj Gibson,Knicks,Forward,6-9,232,USA,1985-06-24T00:00:00,12,26,896,24.5,9.0,6.1,1.0,0.6,1.0,APR 17 2022,4910000
1630581,Josh Giddey,Thunder,Guard,6-8,205,Australia,2002-10-10T00:00:00,0,6,54,31.5,12.5,7.8,6.4,0.9,0.4,APR 16 2022,5988000
1628983,Shai Gilgeous-Alexander,Thunder,Guard,6-6,180,Canada,1998-07-12T00:00:00,3,11,243,31.8,18.2,4.5,4.3,1.1,0.7,APR 16 2022,5495532
1630264,Anthony Gill,Wizards,Forward,6-7,230,USA,1992-10-17T00:00:00,1,Undrafted,70,9.7,3.7,1.9,0.5,0.2,0.2,APR 17 2022,1517981
203497,Rudy Gobert,Jazz,Center,7-1,258,France,1992-06-26T00:00:00,8,27,611,30.0,12.4,11.7,1.3,0.7,2.2,APR 16 2022,35344828
203932,Aaron Gordon,Nuggets,Forward,6-8,235,USA,1995-09-16T00:00:00,7,4,528,28.9,13.0,6.3,2.5,0.7,0.6,APR 16 2022,16409091
201569,Eric Gordon,Rockets,Guard,6-3,215,USA,1988-12-25T00:00:00,13,7,749,32.4,16.4,2.4,2.8,0.9,0.3,APR 16 2022,18218818
1628984,Devonte' Graham,Pelicans,Guard,6-1,195,USA,1995-02-22T00:00:00,3,34,240,27.9,12.8,2.5,5.0,0.9,0.1,APR 17 2022,11000000
203924,Jerami Grant,Pistons,Forward,6-8,210,USA,1994-03-12T00:00:00,7,39,555,26.0,11.4,3.9,1.3,0.6,1.1,APR 16 2022,20000000
201980,Danny Green,76ers,Guard,6-6,215,USA,1987-06-22T00:00:00,12,46,819,25.3,8.7,3.4,1.6,1.0,0.8,APR 16 2022,10000000
203110,Draymond Green,Warriors,Forward,6-6,230,USA,1990-03-04T00:00:00,9,35,685,28.5,8.7,6.9,5.4,1.4,1.0,APR 17 2022,24026712
203210,Jamychal Green,Nuggets,Forward-Center,6-8,227,USA,1990-06-21T00:00:00,7,Undrafted,487,20.8,7.9,5.7,0.9,0.6,0.4,APR 17 2022,8292683
1629750,Javonte Green,Bulls,Guard-Forward,6-5,205,USA,1993-07-23T00:00:00,2,Undrafted,154,16.0,5.0,2.9,0.7,0.8,0.3,APR 16 2022,8992200
201145,Jeff Green,Nuggets,Forward,6-8,235,USA,1986-08-28T00:00:00,13,5,1051,29.0,12.6,4.3,1.5,0.7,0.5,APR 16 2022,4500000
1630182,Josh Green,Mavericks,Guard,6-5,200,Australia,2000-11-16T00:00:00,1,18,106,14.0,4.0,2.3,1.0,0.6,0.2,APR 16 2022,2957520
201933,Blake Griffin,Nets,Forward,6-9,250,USA,1989-03-16T00:00:00,11,1,724,32.9,19.8,8.2,4.1,0.8,0.5,APR 16 2022,32405817
1629656,Quentin Grimes,Knicks,Guard,6-4,210,USA,2000-05-08T00:00:00,0,25,46,17.1,6.0,2.0,1.0,0.7,0.2,APR 16 2022,2168760
1629060,Rui Hachimura,Wizards,Forward,6-8,230,Japan,1998-02-08T00:00:00,2,9,147,28.5,13.0,5.2,1.5,0.7,0.2,APR 16 2022,4916160
